id,song,hip hop,jazz,country,classical,festival,rock
139,Lester Young - Six Cats And A Prince (Master Take),0.007995,0.630898,0.067525,0.001154,0.024472,0.366583
140,Say Anything - Surgically Removing The Tracking Device,0.012339,0.011674,0.032478,0,0.477168,0.214092
141,Newcleus - Jam On It,0.059078,0.03543,0.000598,0.000043,0.051195,0.028304
142,"Slim Harpo - Tip On In, Part 1",0.021692,0.011764,0.015879,0.000529,0.091631,0.069508
143,Slim Harpo - You Can't Make It,0.0076,0.155927,0.012088,0.000037,0.086585,0.077797
144,Silberbart - Head Tear Of The Drunken Sun,0.004026,0.151436,0.000141,0.000006,0.162264,0.182332
145,Starkillers - Discoteka (Austin Leeds & Terranova Remix),0.336655,0.018404,0.000226,0,0.069131,0.01921
146,Seven Day Jesus - I Will Find You,0.003237,0.006788,0.103969,0,0.367683,0.34477
147,Paul Horn - Now Hear This,0.007569,0.250003,0.004853,0.0501,0.006722,0.021128
148,Montgomery Gentry - My Town,0.000779,0.021973,0.174928,0.000033,0.38597,0.65175
149,Montgomery Gentry - Speed,0.003336,0.057082,0.255385,0.000034,0.378071,0.337532
150,Waylon Jennings - T For Texas (Blue Yodel No. 1) (live),0.008846,0.031474,0.061305,0.000019,0.19889,0.068966
151,Waylon Jennings - San Francisco Mabel Joy,0.004395,0.096067,0.181639,0.000349,0.132491,0.049195
152,Waylon Jennings - Are You Sure Hank Done It This Way,0.002794,0.017348,0.349883,0.000685,0.124345,0.04751
153,Waylon Jennings - Clyde,0.004304,0.093171,0.066779,0.00006,0.072801,0.421331
154,Waylon Jennings - Theme From The Dukes Of Hazzard,0.006889,0.056576,0.070036,0.000035,0.111245,0.206953
155,Justin Hinds & The Dominoes - Carry Go Bring Come (Rocksteady),0.067946,0.315157,0.061582,0.00004,0.173828,0.237757
156,Justin Hinds & The Dominoes - Carry Go Bring Come (Ska Version),0.006948,0.058582,0.002179,0.000026,0.015702,0.142837
157,Justin Hinds & The Dominoes - Over The River,0.024569,0.00195,0.010795,0.000605,0.320676,0.023838
158,Richard Hell & The Voidoids - Love Comes In Spurts,0.002761,0.068917,0.067415,0.000029,0.207328,0.564026
159,"Strauss, Richard - Der Rosenkavalier, Opera, Op. 59 (TrV 227)",0.004624,0.031021,0.024538,0.350289,0.015723,0.002002
160,"Strauss, Richard - Salome, opera, Op. 54 (TrV 215)",0.001479,0.009524,0.024543,0.984308,0.00253,0.000753
161,"Strauss, Richard - Eine Alpensinfonie (An Alpine Symphony) For Orchestra, Op. 64 (TrV 233)",0.001622,0.160967,0.010642,0.955159,0.000866,0.001505
162,"Strauss, Richard - Macbeth, Tone Poem For Orchestra, Op. 23 (TrV 163)",0.000645,0.209533,0.000007,0.967935,0.012142,0.004213
163,Leftfield - Swords,0.02558,0.346706,0.004847,0.000013,0.082133,0.071817
164,Finbar & Eddie Furey - Curragh Of Kildare,0.000113,0.005051,0.471652,0.000542,0.049573,0.077092
165,"Rachmaninov, Sergey - Piano Concerto No. 1 In F Sharp Minor, Op. 1",0.000129,0.158473,0.000122,0.427464,0.014743,0.024808
166,"Rachmaninov, Sergey - Piano Concerto No. 2 In C Minor, Op. 18",0.000078,0.252075,0.000367,0.343299,0.01311,0.014807
167,"Rachmaninov, Sergey - Piano Concerto No. 3 In D Minor, Op. 30",0.000395,0.530369,0.000073,0.514081,0.027886,0.022439
168,"Rachmaninov, Sergey - Piano Concerto No. 4 In G Minor, Op. 40",0.000187,0.225034,0.000209,0.165679,0.024691,0.007302
169,"Rachmaninov, Sergey - Rhapsody On A Theme Of Paganini (Introduction And 24 Variations), In A Minor For Piano & Orchestra, Op. 43",0.000115,0.479351,0.000002,0.522867,0.003896,0.016906
170,"Rachmaninov, Sergey - Etudes-tableaux, For Piano, Op. 33",0.000292,0.863726,0.01281,0.82485,0.001334,0.104629
171,"Rachmaninov, Sergey - Moments Musicaux (6) For Piano, Op. 16",0.000194,0.039335,0.005008,0.539587,0.020382,0.015618
172,"Rachmaninov, Sergey - Preludes (10) For Piano, Op. 23",0.000182,0.271219,0.005798,0.154686,0.00055,0.002364
173,"Rachmaninov, Sergey - Preludes (13) For Piano, Op. 32",0.001471,0.272613,0.040837,0.07268,0.001843,0.003237
174,"Rachmaninov, Sergey - Symphonic Dances, for orchestra (or 2 pianos), Op. 45",0.000565,0.226233,0.000562,0.946527,0.005104,0.005273
175,"Rachmaninov, Sergey - Symphony No. 1 in D minor, Op. 13 (lost; reconstructed from piano duets and orch. fragments)",0.00031,0.178628,0.000157,0.991946,0.00557,0.005519
176,"Rachmaninov, Sergey - Symphony No. 2 in E minor, Op. 27",0.000372,0.28361,0.000044,0.970097,0.008938,0.00427
177,"Rachmaninov, Sergey - The Isle of the Dead, symphonic poem, Op. 29",0.000361,0.2198,0.000005,0.888126,0.017551,0.005353
178,The Aggrolites - Mr. Misery,0.013321,0.037026,0.055839,0.000002,0.340662,0.164595
179,Tim Bluhm - California Way,0.004397,0.00688,0.065909,0.000109,0.136367,0.015384
180,Korn - Blind,0.008431,0.112488,0.014211,0.000015,0.649798,0.291301
181,Korn - Make Me Bad,0.008662,0.021514,0.01291,0,0.442498,0.506031
182,Steve Winwood - While You See A Chance,0.002183,0.158596,0.00709,0.000059,0.051489,0.121046
183,Chubby Checker - Pony Time,0.009238,0.114809,0.013612,0.000092,0.08001,0.315391
184,Chubby Checker - Let' Stwist Again,0.037879,0.172386,0.048161,0.000001,0.208102,0.039555
185,Chubby Checker - Limbo Rock,0.055184,0.008542,0.00847,0,0.07024,0.142173
186,Gladys Knight & The Pips - Best Thing That Ever Happened To Me,0.00063,0.116103,0.089087,0.05412,0.061506,0.054204
187,Gladys Knight & The Pips - I Heard It Through The Grapevine,0.022924,0.012191,0.009724,0.000623,0.079937,0.162439
188,Dimmu Borgir - Allegiance,0.004476,0.008197,0.005224,0,0.131754,0.758574
189,Underworld - Born Slippy,0.061483,0.134527,0.009798,0.000001,0.090312,0.038251
190,Decal - Some Kind Of Random,0.000031,0.011386,0.005579,0.127222,0.092165,0.350782
191,Jackson 5 - Dancing Machine,0.024711,0.063469,0.083728,0.000034,0.061677,0.076514
192,Jackson 5 - I Want You Back,0.002328,0.070944,0.030936,0.000025,0.145035,0.269544
193,Jackson 5 - Oh How Happy,0.010216,0.048013,0.077841,0.000031,0.056027,0.106187
194,Jackson 5 - Abc,0.020774,0.021391,0.005236,0,0.105673,0.139107
195,The Jackson Southernaires - I Need You To Hold My Hand,0.002146,0.035218,0.031984,0.000761,0.198116,0.0718
196,The Jackson Southernaires - Lead Me,0.001983,0.014624,0.011384,0.000004,0.109161,0.252317
197,The Sword - Celestial Crown,0.001347,0.002118,0.02829,0,0.168754,0.617982
198,The Sword - Freya,0.019557,0.003458,0.003597,0,0.199751,0.517084
199,Sheryl Crow (Holiday) - Run Rudolph Run,0.012437,0.014524,0.027351,0,0.397842,0.140092
200,The Cars - My Best Friends Girl,0.013268,0.021621,0.080209,0.000004,0.090907,0.782007
201,The Cars - Since You're Gone,0.00705,0.005719,0.036994,0,0.052843,0.762592
202,Will Ackerman - If You Look,0.000141,0.000264,0.001876,0.012821,0.026692,0.003164
203,BBC Big Band Orchestra - I'm Getting Sentimental Over You,0.002557,0.145225,0.02874,0.000182,0.055767,0.001035
204,BBC Big Band Orchestra - On The Sunny Side Of The Street,0.001502,0.214254,0.026221,0.00038,0.070813,0.039998
205,J-Dilla - Crushin' [Instrumental],0.024103,0.011731,0.007111,0.000002,0.173924,0.288681
206,J-Dilla - Make Em Nv,0.079222,0.01848,0.090176,0.000004,0.161639,0.121323
207,J-Dilla - Make'em Nv [Instrumental],0.079222,0.01848,0.090176,0.000004,0.161639,0.121323
208,J-Dilla - Take Notice,0.473876,0.4897,0.006103,0.000036,0.085774,0.027246
209,J-Dilla - Won't Do (Instrumental),0.516856,0.461998,0.000921,0,0.19507,0.039708
210,Leftover Salmon - Bend In The River (Live),0.022291,0.407067,0.163211,0.000029,0.029152,0.087963
211,Leftover Salmon - Midnight Blues (feat. Del & Ronnie McCoury),0.01086,0.104808,0.105411,0.002187,0.072084,0.112597
212,Leftover Salmon - Steam Powered Aeroplane (Live),0.039877,0.043216,0.095585,0.000003,0.211072,0.071526
213,DJ Muggs Vs GZA - Unstoppable Threats (Instrumental),0.009689,0.005413,0.010041,0.000078,0.133002,0.072873
214,Chuck Loeb - Fundamentally Sound,0.020225,0.018206,0.016771,0.000094,0.228147,0.024929
215,O-Shen - Tropically Fine,0.025327,0.00934,0.036518,0.000006,0.053644,0.004997
216,The Warlocks - Gypsy Nightmare,0.006712,0.003864,0.023137,0,0.374516,0.068616
217,Children Of Bodom - Living Dead Beat,0.008806,0.011465,0.00086,0,0.172977,0.514388
218,Blind Blake - Depression's Gone From Me Blues,0.033492,0.025128,0.022541,0.000725,0.022544,0.04725
219,Sevendust - Enemy,0.001177,0.087835,0.01409,0,0.119237,0.609751
220,Sevendust - Shine,0.010035,0.008661,0.013026,0.000002,0.25526,0.323294
221,Omens - Searching,0.004994,0.211183,0.181737,0.000014,0.104947,0.737991
222,Starfield - Can I Stay Here Forever?,0.001079,0.023183,0.405038,0.000003,0.513515,0.385372
223,Gleisberg - Indian Garden,0.00186,0.013114,0.069145,0.00078,0.059152,0.047689
224,Melissa Ferrick - Fear And Time,0.00643,0.106103,0.182329,0.000009,0.158669,0.027624
225,The Mars Volta - Roulette Dares (The Haunt Of),0.002074,0.05059,0.008609,0.000001,0.338259,0.275756
226,Keith Sweat (Holiday) - It's Christmas Again,0.143946,0.054378,0.028311,0.000017,0.148317,0.001839
227,Johannes Linstead - Cielo Azul,0.014174,0.133558,0.010271,0.000029,0.152197,0.05225
228,Johannes Linstead - La Rumbita,0.008399,0.130437,0.009583,0.000287,0.142459,0.113637
229,Trentemoller - Prana,0.511813,0.007068,0.000923,0.000001,0.181565,0.035118
230,Shalamar - Make That Move,0.005718,0.058984,0.004558,0.000045,0.074565,0.280822
231,Fred Hammond - Celebrate (He Lives),0.072612,0.029688,0.035807,0,0.256895,0.003746
232,Dave Swarbrick - Two Magicians,0.044754,0.079821,0.059695,0.000649,0.002056,0.070386
233,Vendredi 13 - Frequency 7,0.008432,0.006359,0.001151,0,0.013353,0.060046
234,Sterling (Electronica) - Desperation,0.007017,0.020884,0.001503,0,0.050114,0.022873
235,Ned Luberecki - Emergency Pulloff,0.002273,0.063102,0.065689,0.000454,0.113484,0.044411
236,Victor Manuelle - Sin Querer Queriendo,0.009385,0.108808,0.017025,0,0.23573,0.08162
237,Victor Manuelle - Tengo,0.002832,0.054102,0.011812,0.000001,0.067832,0.138149
238,Victor Manuelle - Como Una Estrella,0.006359,0.052392,0.017183,0,0.169549,0.095336
239,Empirical Labs - Turtle Beach (Original Mix),0.105681,0.00575,0.008524,0,0.232358,0.062159
240,Jerry Bergonzi - Outhouse,0.001092,0.591942,0.014043,0.003119,0.014738,0.193645
241,The Kingsmen - Louie Louie,0.021194,0.018809,0.007422,0.000001,0.038503,0.471652
242,Sound Providers - Autumn's Evening Breeze,0.227945,0.524744,0.005201,0.000036,0.220001,0.044099
243,The New Colony Six - I Lie Awake,0.003848,0.097759,0.079198,0.000001,0.047715,0.304553
244,Jason Aldean - Laughed Until We Cried,0.001247,0.021224,0.552516,0.000003,0.528558,0.109723
245,Catherine Maclellan - River Valley Plains,0.014853,0.000952,0.092937,0.000009,0.125774,0.027469
246,Kaskade - Honesty,0.390721,0.027919,0.001497,0.000004,0.148079,0.003812
247,Kaskade - Move For Me,0.014651,0.016228,0.007925,0,0.25726,0.031379
248,The Animals - Baby Let Me Take You Home,0.011775,0.077636,0.140887,0,0.201241,0.355955
249,The Animals - Don't Bring Me Down,0.028899,0.140394,0.041869,0.000017,0.245222,0.315829
250,The Animals - I Put A Spell On You,0.012261,0.230355,0.043828,0.000001,0.415935,0.410983
251,The Animals - See See Rider,0.010084,0.100265,0.048659,0.000004,0.228582,0.32984
252,Flyleaf - All Around Me,0.009961,0.014831,0.047959,0,0.356166,0.242303
253,Flyleaf - Sorrow,0.005805,0.007292,0.028909,0,0.259995,0.189965
254,Flyleaf - I'm So Sick,0.033367,0.01801,0.010951,0,0.161185,0.494828
255,"Mendelssohn, Fanny - String Quartet In E Flat Major",0.000367,0.0794,0.003946,0.933168,0.001843,0.000381
256,Fosforito - Nunca Te He Mendtido (Bulerias De Cadiz),0.002678,0.008667,0.007682,0.000924,0.066665,0.654726
257,Antonio Carlos Jobim - Agua De Beber (Live),0.006121,0.643811,0.013699,0.000009,0.094322,0.015996
258,Antonio Carlos Jobim - Por Toda Minha Vida,0.005591,0.032979,0.017585,0.002385,0.032923,0.087522
259,Antonio Carlos Jobim - Amor Em Paz (Once I Loved),0.006187,0.262084,0.08711,0.000148,0.010081,0.002654
260,Antonio Carlos Jobim - Insensatez (How Insensitive),0.012971,0.151958,0.065654,0.000015,0.008421,0.002476
261,Antonio Carlos Jobim - Tide,0.000914,0.223321,0.040373,0.000489,0.032896,0.031218
262,Antonio Carlos Jobim - Agua De Beber,0.096014,0.566215,0.032666,0.000026,0.002256,0.004705
263,Antonio Carlos Jobim - Children's Games,0.004097,0.310157,0.021792,0.000085,0.061056,0.068723
264,Antonio Carlos Jobim - O Grande Amor,0.016077,0.444796,0.010036,0.000033,0.044414,0.009794
265,Antonio Carlos Jobim - The Girl From Ipanema,0.023153,0.150801,0.029528,0.000044,0.013361,0.006792
