id,song,festival
697,Brother Ali - Uncle Sam Goddamn,0.41688
1325,The Beatles - If I Fell,0.416621
1123,Tony Bennett - The Best Man,0.416334
250,The Animals - I Put A Spell On You,0.415935
964,Broken Social Scene - Shampoo Suicide,0.415145
1046,Blackmore's Night (Holiday) - Hark The Herald Angels Sing ? Come All Ye Faithful,0.414796
1424,Fastball - Morning Star,0.412891
1215,Downhere - Feels Like Winter,0.411984
1572,Leona Lewis - Bleeding Love,0.411238
586,The Mark Inside - Carousel,0.411009
1642,The Troggs - My Lady,0.410665
425,Scorpions - New Generation,0.410361
681,Mudvayne - Fall Into Sleep,0.409813
422,Hank Williams III - Crazed Country Rebel,0.409092
267,The Bamboos - Tighten Up,0.406671
615,Grand Ole Party - Look Out Young Son,0.404237
1734,Lee Ann Womack - I Hope You Dance,0.40397
1822,Sam Bush - The Dolphin Dance,0.402933
877,The Monkees - Look Out (Here Comes Tomorrow),0.401663
1423,Fastball - Are You Ready For The Fallout?,0.40166
1209,Joe Diffie - White Lightning,0.400708
601,Bishop Allen - Things Are What You Make Of Them,0.398891
199,Sheryl Crow (Holiday) - Run Rudolph Run,0.397842
651,Justin Timberlake - What Goes Around...?...Comes Around (Interlude),0.397732
1568,Staind - It's Been Awhile,0.397354
1556,Sarah McLachlan - Adia,0.394291
961,Broken Social Scene - Stars And Sons,0.392911
564,Alison Krauss - Whiskey Lullaby,0.392243
1316,Nachtmystium - Code Negative,0.392108
1370,Finger Eleven - First Time,0.390474
825,The Wallflowers - 6th Ave Heartache,0.388897
1146,The Offspring - Can't Repeat,0.387277
680,God-Des - Debate,0.387255
861,Michelle Branch - Everywhere,0.387235
1467,Passion - All Creatures Of Our God And King,0.386323
1320,Fergie - Glamorous,0.386185
148,Montgomery Gentry - My Town,0.38597
1162,Waco Brothers - Missing Link,0.385089
970,Enanitos Verdes - Tu Carcel,0.384603
758,Unwound - Laugh Track,0.383923
533,Rise Against - The Good Left Undone,0.383261
1479,Stevie Wonder - My Cherie Amour,0.382754
962,Broken Social Scene - KC Accidental,0.38186
334,Bonerama - Cabbage Alley,0.381655
1387,Foghat - Night Shift,0.381572
1294,Hillsong - God He Reigns ? All I Need Is You (Live),0.38084
1726,Bond - Space,0.379604
1077,AC?DC - Back In Black,0.378434
149,Montgomery Gentry - Speed,0.378071
635,Wolfmother - Colossal,0.376448
787,Adele - Melt My Heart To Stone,0.37596
1570,Staind - Right Here,0.375379
1289,Donnie McClurkin - Church Medley,0.374737
216,The Warlocks - Gypsy Nightmare,0.374516
1373,Descendents - Suburban Home,0.374
983,B.B. King & John Popper (Holiday) - Back Door Santa,0.37211
409,Wumpscut - Fear In Your Eyes,0.371595
271,Lucy Kaplansky - I Had Something,0.371326
559,Alison Krauss - Can't Find My Way Home,0.37035
852,Talib Kweli - Supreme Supreme,0.368559
146,Seven Day Jesus - I Will Find You,0.367683
1425,Fastball - Which Way To The Top,0.366886
360,Assemblage 23 - Damaged,0.365938
86,"JoJo - Too Little, Too Late",0.363465
1427,Jr. Walker & The All Stars - What Does It Take,0.363361
767,Indigo Girls - She's Saving Me,0.362231
1715,Junior Brown - Freedome Machine,0.361968
862,Michelle Branch - All You Wanted,0.361224
1663,Gnarls Barkley - Crazy,0.361148
372,Luis Miguel - Por Debajo De La Mesa,0.36096
386,Chayanne - Un Siglo Sin Ti,0.360034
1264,Dead Confederate - Shadow The Walls,0.359687
1569,Staind - Outside,0.358972
1051,Dire Straits - So Far Away,0.358956
842,Pavement - Baptist Blacktick,0.35794
1134,Matthew West - Get Away,0.357934
1687,Filter - Hey Man Nice Shot,0.357655
953,The Black Angels - You On The Run,0.356828
135,Butch Engle & The Styx - Hey I'm Lost,0.356764
252,Flyleaf - All Around Me,0.356166
1648,Tokyo Police Club - Be Good,0.354635
1189,Covenant - Dead Stars (Version),0.354092
1265,Dead Confederate - Tortured Artist Saint,0.353062
1449,Ivory Joe Hunter - Shooty Booty,0.351599
1045,Blackmore's Night (Holiday) - We Three Kings,0.351163
468,Soda Stereo - Paseando Por Roma,0.3505
832,Gaither Vocal Band - Swing Down Chariot,0.35041
1558,Sarah McLachlan - Homeless,0.349993
1000,Thou - I Was Ignored. And Judged. And Cast Down,0.349991
1455,Say Hi To Your Mom - Your Brains Vs. My Tractorbeam,0.349564
1509,Darrell Evans - Trading My Sorrows,0.347202
346,Lisa Loeb (Holiday) - Jingle Bells,0.346511
1469,Passion - Here I Am To Worship,0.346241
618,Foo Fighters - No Way Back,0.345818
21,RJD2 - Ghostwriter (Remix),0.34512
1810,Marky Ramone - Rockaway Beach,0.344909
1105,John Butler Trio - Funky Tonight,0.34469
1723,Junior Brown - Where Has All the Money Gone?,0.343955
817,Your Vegas - Troubled Times,0.342134
178,The Aggrolites - Mr. Misery,0.340662
906,Loquat - Serial Mess,0.340116
1764,Tiamat - For Her Pleasure,0.339959
371,Luis Miguel - La Incondicional,0.339108
1634,Rihanna - Hate That I Love You,0.338748
1471,Raveonettes (Holiday) - The Christmas Song,0.338641
225,The Mars Volta - Roulette Dares (The Haunt Of),0.338259
74,Nice & Smooth - Sometimes I Rhyme Slow,0.337722
1360,Gyptian - My Fadah Seh,0.337418
273,Lucy Kaplansky - Written On The Back Of His Hand,0.336473
19,RJD2 - All For You,0.335605
120,Sharon Jones & The Dap-Kings - How Long Do I Have To Wait For You?,0.334787
736,Band Of Horses - Our Swords,0.333371
413,Wumpscut - Wir Warten,0.333342
1746,Nine Inch Nails - Closer,0.333048
1792,The Dirty Projectors - Since I Opened,0.33245
1693,Wire - Reuters,0.332143
784,Adele - Hometown Glory,0.332136
1319,Fergie - Big Girls Don't Cry,0.331591
973,Roni Size & Reprazent - Hi-Potent,0.33112
1836,Avril Lavigne - Keep Holding On,0.33015
1488,Rissi Palmer - Anybody Out There,0.329237
1647,Tokyo Police Club - Nature Of The Experiment,0.328977
821,!!! (Chk Chk Chk) - Me And Giuliani Down By The School Yard (A True Story),0.328361
1745,Nine Inch Nails - Zero Sum (Stephen Morris & Gillian Gilbert Remix),0.328115
1524,Marvin Gaye - Mercy Mercy Me,0.328022
1087,AC?DC - Who Made Who,0.32714
439,Reuben Morgan - Hear Our Praises,0.327113
742,Phil Collins - You'll Be In My Heart,0.325894
403,Red - Wasting Time,0.325791
1630,Joseph Arthur - Favorite Girl,0.324611
1094,AC?DC - For Those About To Rock,0.324475
487,Irish Rovers (Holiday) - We Wish You A Merry Christmas,0.323866
411,Wumpscut - Opening The Gates Of Hell,0.322849
1227,The Blakes - Commit,0.32147
353,The Bird And The Bee - F*cking Boyfriend (Peaches Remix),0.321294
625,Iron Maiden Tribute Band - Run To The Hills,0.320796
157,Justin Hinds & The Dominoes - Over The River,0.320676
715,The National - Start A War,0.320168
619,Foo Fighters - Low,0.319888
1631,Rihanna - Shut Up And Drive,0.319876
1125,Groove Coverage - Runaway,0.318101
867,Kate Havnevik - Sleepless,0.317907
62,Livin' Joy - Don't Stop Movin',0.316458
1340,The Beatles - Let It Be,0.315023
1812,Jarabe De Palo - Grita,0.314269
437,Lazy Lester - I'm Gonna Miss You (Like The Devil),0.313918
1099,Social Distortion - Bad Luck,0.313006
1656,Rose Cousins - One Love,0.312714
274,Lucy Kaplansky - Land Of The Living,0.312667
617,The Crests - Sixteen Candles,0.311432
997,Ruben Studdard - Goin' Up Yonder,0.309193
1291,Donnie McClurkin - We Fall Down (Live),0.308202
1562,Sarah McLachlan - Train Wreck,0.307835
285,The Jam - Man In The Corner Shop,0.306899
1586,Beres Hammond - Rock Away,0.306525
118,Sharon Jones & The Dap-Kings - Cut That Line,0.306124
785,Adele - Right As Rain,0.305936
654,Heritage Hall Jazz Band (Holiday) - Silver Bells,0.305737
1082,AC?DC - Have A Drink On Me,0.305386
1643,The Troggs - Wild Thing,0.305084
1394,Marvin Sapp - Perfect Peace,0.304902
1163,Corrina Repp - No One's Telling,0.304466
461,Worm Is Green - Army Of Them,0.304285
1466,Passion - Glorious,0.303846
1857,Nas - Get Down,0.303595
494,Burning Witch - Sea Hag,0.302048
1698,Alter Bridge - Buried Alive,0.301071
1695,Robert Cray - Nothin' But A Woman,0.30074
747,Ian Van Dahl - Castles In The Sky,0.300608
1104,Ziggy Marley - Friend,0.299799
57,Whitney Houston (Holiday) - Joy To The World,0.29894
770,Janis Figure - Mechanical Bull,0.2982
302,Tranquility Base - Surrender,0.298176
1128,Christopher Lawrence - October's Child,0.297256
1164,Reik - Me Duele Amarte,0.297124
329,George Michael - Faith,0.294862
907,Loquat - Slow Fast Wait & See,0.293794
1218,The Handshake Murders - New Enemy,0.29375
108,Celia Cruz & Tito Puente - La Plena Bomba Me Llama,0.291961
1838,Avril Lavigne - Sk8er Boi,0.290326
359,Assemblage 23 - Cocoon,0.289781
384,Chayanne - Atado A Tu Amor,0.288965
975,Roni Size & Reprazent - Snapshot,0.288824
1566,Boz Scaggs - It All Went Down The Drain (Live),0.288622
1809,Marky Ramone - Blitzkrieg Bop,0.288151
1621,Justifide - Pointing Fingers,0.287973
755,Turn Me On Dead Man - 67 Dreams,0.287028
351,The Bird And The Bee - How Deep Is Your Love,0.286594
905,Loquat - Need Air,0.28645
1468,Passion - Awesome Is The Lord Most High,0.285943
943,Guns N' Roses - Don't Cry,0.285668
751,Tommy Emmanuel - The Hunt,0.28537
391,Rosalia De Souza - Nem Que Seja A Nado,0.285033
1699,Alter Bridge - One By One,0.284525
1247,Gouryella - Walhalla,0.284082
1297,Joey Ramone - What A Wonderful World,0.282969
709,Krum Bums - Fall,0.281935
349,Seal - Love's Divine (Live),0.281301
1286,Parts & Labor - The Gold We're Digging,0.28063
1611,John Tesh - God Of Wonders,0.279176
554,Lyle Lovett - That's Right (You're Not From Texas),0.279124
436,Lazy Lester - Gonna Stick To You Baby,0.279047
485,Irish Rovers (Holiday) - God Rest Ye Merry Gentlemen,0.27838
960,Broken Social Scene - Fire Eye'd Boy,0.278224
1187,Magik Markers - Body Rot,0.277024
810,Powder (Holiday) - Christmas Don't be Late (Chipmunk Song),0.276439
53,Beres Hammond? Flourgon - Feel Like,0.276225
1126,Groove Coverage - The End,0.274935
1307,Hilltop Hoods - The Soul Of The Beat,0.274911
51,Earthless - Cherry Red,0.274902
928,Los Rieleros Del Norte - Caballo De Espadas,0.274712
1064,Nitty Gritty Dirt Band - Get Back,0.274263
1626,Kill Memory Crash - Riyout,0.274257
1068,Nitty Gritty Dirt Band - Mr. Bojangles,0.274175
380,Rhianna (Holiday) - It Just Don't Feel Like Xmas (Without You),0.273495
1690,Filter - Welcome To The Fold,0.272877
998,Ruben Studdard - Shout To The Lord,0.272229
995,Kumbia Altarz - Chiquilla,0.270879
1620,Justifide - Escape,0.270692
1714,Junior Brown - Lookin' For Love,0.270478
316,Sara Bareilles - Gravity (2003),0.269148
666,DJ Khaled - We Takin' Over,0.268467
389,Euge Groove - Get Em Goin',0.268015
958,Broken Social Scene - 7?4 (Shoreline),0.267258
891,Dan The Automator - Lyrics To Go (Remix) (Instrumental),0.267029
1337,The Beatles - Get Back (Love Version),0.266862
1633,Rihanna - Don't Stop The Music,0.266537
275,"Jo Dee Messina - Heads Carolina, Tails California",0.266341
1208,Big Al Carson (Holiday) - Santa Claus Is Comin' To Town,0.263236
1090,AC?DC - What Do You Do For Money Honey,0.26305
815,Your Vegas - In My Head,0.2625
1213,Les Brown And His Band Of Renown - Moonlight In Vermont,0.261798
1290,Donnie McClurkin - He's Calling You,0.260971
1629,Michael Burns - The Ambience,0.260368
253,Flyleaf - Sorrow,0.259995
1735,Lee Ann Womack - I'll Think Of A Reason Later,0.258022
1674,Pamela Williams - Elixir,0.257313
247,Kaskade - Move For Me,0.25726
231,Fred Hammond - Celebrate (He Lives),0.256895
1664,Gnarls Barkley - Smiley Faces [Live On Later With Jools Holland],0.256627
1689,Filter - The Only Way (Is The Wrong Way),0.256083
1396,LFO (Pop) - Summer Girls,0.256009
1669,Brett Dennen - One Who Loves You The Most,0.255973
1261,A Teens - S.O.S,0.255472
220,Sevendust - Shine,0.25526
326,John Scofield - Drop And Roll,0.254533
1864,An Albatross - Death Rides A Brown Horse,0.253992
48,Robin Thicke - Complicated,0.253521
1688,Filter - Spent,0.253212
1700,Alter Bridge - Open Your Eyes,0.253189
1465,Passion - No One Like You ? David Crowder Band,0.252609
339,Bonerama - Ocean,0.252191
