song,classical
Boccherini. Luigi - Symphony In C Major. G. 505 (Op. 12?3),0.876904
Schumann. Robert - Piano Concerto in A minor. Op. 54,0.83451
Rachmaninov. Sergey - Etudes-tableaux. For Piano. Op. 33,0.82485
Sam Bush - Big Mon,0.80395
Mahler. Gustav - Symphony No. 5 in C sharp minor,0.800373
Chopin. Fryderyk - Etudes (12) for piano. Op. 25. CT. 26-37,0.796173
Boyce. William - Trio Sonata No. 6 In B Flat Major,0.796033
Chopin. Fryderyk - Waltzes (3) for piano. Op. 70. CT. 217-219,0.795548
Verdi. Giuseppe - La Forza Del Destino. Opera,0.79253
Baguer. Carlos - Symphony No. 13 In E Flat Major,0.777459
"Boccherini. Luigi - Quintet For Guitar & Strings In D Major (""Fandango""). G. 448 (Arrangement Of String Quintets. G. 270 & 341)",0.776765
Verdi. Giuseppe - Falstaff. Opera,0.765482
Deuter - Earth Shadow,0.76061
Verdi. Giuseppe - Macbeth. Opera,0.755561
Boyce. William - Trio Sonata No. 4 In G Minor,0.753217
Christmas Cookies (Holiday) - White Christmas,0.739305
Rosetti. Antonio - Symphony In F Major. A 33?K 1 No 24,0.733058
Boccherini. Luigi - Symphony In C Minor. G. 519 (Op. 41),0.73075
Boccherini. Luigi - Symphony In D Minor. G. 522 (Op. 45),0.710043
Schumann. Robert - String Quartet No. 2 in F major. Op. 41?2,0.705018
Jon Schmidt - Solace,0.698209
Jim Taylor - Little Rose Is Gone. Billy In The Lowground,0.67009
Chris Bocast - Hearts' Rest,0.644859
Couperin. Francois - In Lectulo Meo,0.644093
Schumann. Robert - Kreisleriana. 8 fantasies for piano. Op. 16,0.636329
Couperin. Francois - L'Espagnole (La Visionnaire). For 2 Violins & Continuo (Les Nations),0.578244
Dittersdorf. Karl Ditters von - Concerto For Harp. 2 Oboes. 2 Horns & Stringorchestra In A Major,0.568337
Rachmaninov. Sergey - Moments Musicaux (6) For Piano. Op. 16,0.539587
Grey Daturas - Hanging Man Is No Peacock,0.536468
Rachmaninov. Sergey - Rhapsody On A Theme Of Paganini (Introduction And 24 Variations). In A Minor For Piano & Orchestra. Op. 43,0.522867
Morricone. Ennio - Sergio Leone Suite,0.520033
Rachmaninov. Sergey - Piano Concerto No. 3 In D Minor. Op. 30,0.514081
Boieldieu. Francois-Adrien - Concerto For Harp & Orchestra In C. Op.77,0.499968
Various Artists? 50 Most Loved Christmas Carols (Holiday) - While Sherherds Watched Their Flocks,0.499309
Chopin. Fryderyk - Impromptu for piano in G flat major. Op. 51. CT. 45,0.485225
"Lucky Thompson - Take The ""A"" Train",0.457442
Various Artists? 50 Most Loved Christmas Carols (Holiday) - Lo. How A Rose E'er Blooming,0.456897
Rachmaninov. Sergey - Piano Concerto No. 1 In F Sharp Minor. Op. 1,0.427464
Robert Johnson - Walkin' Blues,0.420171
Faure. Gabriel - Impromptu for piano No. 3 in A flat major. Op. 34,0.400949
Khachaturian. Aram - Masquerada. Suite From The Incidental Music For Orchestra (or Piano),0.385371
Markus Reuter - The Increase Of Faith,0.376037
Schumann. Robert - Romances (3) for piano. Op. 28,0.375437
Fairfield Four - How I Got Over,0.362946
Steve Roach & Robert Rich - Silk Ridge,0.357363
Strauss. Richard - Der Rosenkavalier. Opera. Op. 59 (TrV 227),0.350289
Rachmaninov. Sergey - Piano Concerto No. 2 In C Minor. Op. 18,0.343299
Funck. David - Suite In D,0.32541
Jean-Luc Ponty - Eulogy To Oscar Romero,0.305458
Chopin. Fryderyk - Nocturnes (2) for piano. Op. 48. CT. 120-121,0.305059
Creative Music Services Musicians (Holiday) - O Christmas Tree,0.30384
Faure. Gabriel - Sonata For Cello & Piano No. 2 In G Minor. Op. 117,0.276606
Deuter - Earthlight,0.275556
Gordon Bok - Herring Croon,0.263261
Rogue Wave - Perfect,0.238005
Robert Johnson - I'm A Steady Rollin' Man,0.228377
Sam Bush - Ozzie & Max,0.219947
Faure. Gabriel - Sonata For Cello & Piano No. 1 In D Minor. Op. 109,0.215257
Yolanda Kondonassis (Holiday) - Bring A Torch. Jeannette. Isabella,0.199705
Christmas Cookies (Holiday) - The Christmas Song,0.199661
Teddy Wilson - Body And Soul,0.193653
Jon Schmidt - Night Song,0.189933
Chopin. Fryderyk - Nocturnes (3) For Piano. Op. 9. Ct. 108-110,0.180227
Brian Eno - An Ending (Ascent),0.179302
Tim O'Brien - Johnny Don't Get Drunk ? Rye Straw,0.178036
Dan Crary - Lime Rock,0.170485
Rachmaninov. Sergey - Piano Concerto No. 4 In G Minor. Op. 40,0.165679
Explosions In The Sky - A Slow Dance,0.164772
Loreena McKennitt (Holiday) - The Stockford Carol,0.160945
Chopin. Fryderyk - Nocturnes (3) for piano. Op. 15. CT. 111-113,0.159146
Jack Jones - Somewhere My Love,0.15869
Jack Jones - Autumn Leaves,0.158527
Gordon Bok - Sailor's Carol,0.157996
Robin Bullock - Rigler's March-Rex's Rambles,0.155169
Rachmaninov. Sergey - Preludes (10) For Piano. Op. 23,0.154686
Bing Crosby - It's Been A Long. Long Time,0.154601
Wreckless Eric - Whole Wide World,0.151595
Kruger Brothers - Up18north,0.14764
Various Artists? 50 Most Loved Christmas Carols (Holiday) - In The Bleak Midwinter,0.141665
Markus Reuter - Read Aloud In Cold Blood,0.133929
Deuter - Black Velvet Flirt,0.132584
Lorie Line - Faith Of Our Fathers,0.130657
Gordon Bok - Jericho,0.129761
Decal - Some Kind Of Random,0.127222
Laurie Z. - The Mysterious Painter,0.119351
Kokomo Arnold - Milk Cow Blues,0.116288
Deepak Chopra & Adam Plack - Serenity,0.115063
Stars Of The Lid - Even If You're Never Awake,0.1114
Hilary Stagg - Spirit Dancers,0.110848
Stars Of The Lid - Broken Harbors? Part 1,0.108862
Chopin. Fryderyk - Piano Sonata No. 3 in B minor. Op. 58. CT. 203,0.105101
Dan Crary - Lady's Fantasy,0.104071
Liquid Mind - My Orchid Spirit,0.103485
Laurence Juber (Holiday) - Away In A Manger,0.091661
Liquid Mind - Gently Down,0.088647
Dan Gibson - Adventureous Spirit,0.088194
Cal Tjader - Sambo Do Suenho,0.087226
Westbam - Elektronische Tanzmusik,0.085541
Deuter - Empty Shore,0.081009
David Grisman & Tony Rice - O Solo Mio,0.08006
Rachmaninov. Sergey - Preludes (13) For Piano. Op. 32,0.07268
Dan Crary - Tom & Jerry,0.070899
David Grisman & Tony Rice - Morning Sun,0.064847
Mars Lasar - Untouchable,0.061585
Corciolli - Rain,0.061036
Gladys Knight & The Pips - Best Thing That Ever Happened To Me,0.05412
R.L. Burnside - When My First Wife Left Me,0.053299
Brian Eno - Stars,0.05056
Paul Horn - Now Hear This,0.0501
Corciolli - Work (Water),0.049634
Junior Mance Trio - Smokey Blues (Live),0.049609
Corciolli - Children (Lake),0.049421
Robert Johnson - I Believe I'll Dust My Broom,0.048578
Steve Roach & Robert Rich - Going Inland,0.047417
Butch Thompson (Holiday) - Ave Maria,0.04673
Teddy Wilson - In The Mood,0.045857
Buddy Bregman - Derek's Blues,0.043241
Laurence Juber (Holiday) - Good King Wenceslaus,0.043181
Alison Krauss - Foolish Heart,0.042262
Dave Holland - Blue,0.041344
The Beatles - A Day In The Life,0.04106
Jon Schmidt - Passages,0.040558
James Cotton - Mighty Long Time,0.040446
Garfield Akers - Cottonfield Blues Part 1,0.039948
David Grisman & Tony Rice - Song For Two Pamelas,0.039776
John Prine - Everything Is Cool,0.039765
Tetsu Inoue - Mini Moon,0.039596
Teddy Wilson - Mean To Me,0.039409
Howard Roberts - Watermelon Man,0.038279
Antonio Pinana - Cuando Llora La Guitarra,0.037969
Tommy Johnson - Big Fat Mama Blues,0.037958
Dan Crary - Amsterdance,0.037675
Lorie Line - Norwegian Wood,0.037342
Stars Of The Lid - A Lovesong (For Cubs)+? Part 3,0.036284
John R. Burr - For The Asking,0.036067
Rogue Wave - Endgame,0.034559
Will Ackerman (Holiday) - Emmanuel,0.033425
Deuter - Yellow Mandala,0.032881
Tristeza - Abrazo Distante,0.03286
Harry Connick. Jr. - It Had To Be You,0.031268
David Grisman & Tony Rice - The Prisoner's Waltz,0.031248
Sam Bush - Sailin' Shoes,0.031182
Bessie Smith (Holiday) - At The Christmas Ball,0.030429
Jennifer Haines (Holiday) - Cantique De Noel (O Holy Night),0.030422
Dan Crary - On The Fritz,0.030417
Jimmy Forrest - By The River Sainte Marie,0.029809
Jake Schepps - In The American West? Rocky Ford,0.029079
Tommy Flanagan - While You Are Gone,0.025271
Laurence Juber (Holiday) - Prelude & Silent Night,0.024704
Wire - Reuters,0.024692
Peggy Lee & Art Lund (Holiday) - Winter Weather,0.024021
Ralph Stanley & The Clinch Mountain Boys - Man Of Constant Sorrow,0.023889
Toshiko Akiyoshi - 52nd St. Theme,0.022435
Jim Henry+Brooks Williams - On The Rollin' Sea,0.021923
Mike Dowling - Ragged And Dirty,0.021873
Mike Dowling - Mean Old Frisco,0.021836
SubtractiveLAD - My Quadrant,0.021811
Ben Webster - Someone To Watch Over Me,0.021711
Teddy Wilson - Easy To Love,0.019784
Harry Connick. Jr. - I Could Write A Book,0.019268
The Beatles - Two Of Us,0.019267
The Cotton Pickers - Hot Lips,0.018418
Yellowman - Hold On To Your Woman,0.017394
Tony Bennett - She's Funny That Way,0.016969
Doc Watson - Little Orphan Girl (Live),0.016575
Sonny Rollins - Manhattan,0.01637
Butch Thompson (Holiday) - Silent Night,0.016134
Tommy Johnson - Lonesome Home Blues (Take 2),0.016005
Jack Jones - Luck Be A Lady,0.01552
Ronan Hardiman - Celtic Dream,0.015489
Kit McClure Band - One O'clock Jump,0.015036
Lorie Line - Think Of Me,0.014871
The Gene Harris Quartet - The Song Is Ended,0.014738
Robert Johnson - Traveling Riverside Blues,0.0145
Wes Montgomery - Road Song,0.014295
David Grisman & Tony Rice - Swing '42,0.014209
Bryan Sutton - Grover Glen,0.014143
Clint Mansell & Kronos Quartet - Lux Aeterna,0.0141
Pete Fountain - The Darktown Strutters' Ball,0.013977
"Eddie ""Lockjaw"" Davis - Trane Whistle",0.013683
Mose Andrews - Ten Pound Hammer,0.013666
Brian Eno - Neroli,0.013379
Donald Byrd & Doug Watkins - If I Love Again,0.013334
Milt Jackson - Bags Of Blue (Live),0.013142
Will Ackerman - If You Look,0.012821
Stars Of The Lid - A Meaningful Moment Through A Meaning(Less) Process,0.012626
Hilary Stagg - Land Of Oz,0.012398
Stars Of The Lid - Gasfarming,0.012071
Doc Watson - Billy In The Low Ground (Live),0.011719
Milt Jackson - Little Girl Blue (Live),0.011578
Doc Watson - Spike Driver Blues,0.011559
Butch Thompson (Holiday) - We Three Kings,0.010679
Preston Reed - Tractor Pull,0.010613
Marty Robbins (Holiday) - The Joy Of Christmas,0.010531
Robert Henke - Signal To Noise II,0.010417
Liquid Mind - Breathe In Me,0.010144
Dan Crary - Reedie's Blues,0.009879
The Seldom Scene - Maybe You Will Change Your Mind,0.009855
Sonny Rollins - There Are Such Things,0.009584
Boys From Indiana - Atlanta Is Burning,0.009459
Josh White - Jesus Gonna Make Up My Dying Bed,0.009375
Deuter - Sea And Silence,0.00936
Mice Parade - Circle None,0.009339
Eric Harringer & John Paul Lacey - Morning Sun,0.00919
Butch Thompson (Holiday) - God Rest Ye Merry Gentlemen,0.009119
Jim Henry+Brooks Williams - Malted Milk,0.009017
Branford Marsalis - Swingin' At The Haven,0.008998
Alison Krauss - Everytime You Say Goodbye,0.008965
Hugo Montenegro & His Orchestra - Theme From A Fistful Of Dollars,0.00895
Antonio Aguilar - Mi Ranchito,0.008786
Maria Bethania & Gal Gosta - Sonho Meu,0.008672
David Grisman & Tony Rice - I Am A Pilgrim,0.008603
The Beatles - Michelle,0.008537
Question Mark and the Mysterians - 96 Tears,0.007967
Jerry Douglas?Russ Barenberg?Edgar Meyer - Big Bug Shuffle,0.007913
The Association - Windy,0.007875
Dan Crary - The Fermoy Lass. The Man Of The House,0.007595
Charlie Lincoln - Depot Blues,0.007557
Furry Lewis - Furry's Rag (Take Your Time. Baby),0.007477
Jim Henry+Brooks Williams - Angie,0.007448
The Dirty Projectors - On The Beach,0.007394
Dan Crary - Senso Unico,0.007186
Tony Bennett - I Wanna Be Around,0.00715
Generation J - Jesus Loves Me Medley,0.006895
Men Of Steel - O'Carolan's Quarrel With The Landlady (Live),0.006835
Dean Martin - Mr. Wonderful (Live),0.006748
Eddie Fisher (Holiday) - My Favorite Things,0.006649
Don Ross - Blue Bear,0.006592
The Beatles - Within You Without You,0.0065
David Grisman & Tony Rice - Grandfather's Clock,0.006457
Milt Jackson - Sweet And Lovely,0.006106
David Grisman & Tony Rice - Banks Of The Ohio,0.006069
The David Grisman Quintet - Cedar Hill (live),0.006034
John Danley - Dust For Sparrows,0.006024
John Tesh - Key Of Love (live),0.006022
The Dukes Of Dixieland - Sunrise. Sunset,0.005872
Tommy Emmanuel - Endless Road,0.005745
Eric Clapton & Duane Allman - Mean Old World,0.005743
Ella Fitzgerald - Bidin' My Time,0.005636
Eric Harringer & John Paul Lacey - Romance,0.005561
Los Checkmates - I Think We're Alone Now,0.005561
Milt Jackson - Enigma,0.005535
Critters Buggin - 5?4 F.T.D.,0.005531
Raina Rose - Evergreen House. 2nd Floor,0.005341
James P. Johnson - I've Got A Feeling I'm Falling,0.005235
The Sons Of The West - Panhandle Shuffle,0.00523
RJD2 - Inhale (Remix),0.004903
Jake Schepps - Origami,0.004892
Ani DiFranco - As Is (Live 11.16.03),0.00489
Kim Wilson - High & Lonesome (live),0.004863
Verdi. Giuseppe - Il Trovatore. Opera,0.004721
Paul Bley - Time On My Hands,0.004627
Jimmy Dorsey - Begin The Beguine,0.004599
Nitty Gritty Dirt Band - I Saw The Light,0.004286
Liquid Mind - My Silent Knowing,0.004284
Laurence Juber (Holiday) - God Rest Ye Merry Gentlemen,0.004258
James P. Johnson - Keepin' Out Of Mischief Now,0.004234
Doyle Dykes - Caleb's Report,0.004156
John Danley - Hickory,0.004111
Tim Sparks - Trap Hill Breakdown,0.004014
Cal Tjader - Mambo In Miami,0.004013
John McEuen - Ryan William's Arrival In America,0.003972
Josh White - New Milk Cow Blues,0.003931
Pete Robbins - Screwgun,0.003889
Mahalia Jackson - Trouble Of The World,0.003881
Milt Jackson - Namesake,0.003839
Augustus Pablo - East Africa,0.00382
Albert King - Jam In A-Flat,0.003602
The Dirty Projectors - Since I Opened,0.003596
Eric Harringer & John Paul Lacey - Whispering Winds,0.003574
Ella Fitzgerald - My Man,0.00354
Bunny Berigan - The Buzzard,0.003533
Prince - Little Red Corvette,0.003524
Jake Schepps - Bluff's Collar,0.003514
Mildred Bailey (Holiday) - I've Got My Love To Keep Me Warm (feat. Red Norvo),0.00345
Cedar Walton Trio - I Mean You,0.003398
Robin Guthrie & Harold Budd - Childhood Lost,0.00335
Lefty Frizzell - Saginaw. Michigan,0.003237
Ralph Stanley & The Clinch Mountain Boys - Calling My Children Home,0.003216
Toots & The Maytals - 54-56 Was My Number,0.003196
Tex Atchison - Tennessee Hound Dog,0.003166
Lyle Lovett - North Dakota,0.003153
Preston Reed - Love In The Old Country,0.003141
Jerry Bergonzi - Outhouse,0.003119
Sonny Rollins - A Nightingale Sang In Berkeley Square (Live),0.003087
Ohio Players - Fire,0.003071
Pee Wee Hunt & His Orchestra - Charleston,0.003016
Brian Eno - Zawinul ? Lava,0.002995
Prince - Kiss,0.002942
The Allman Brothers Band - Mountain Jam (Live),0.00291
Don Ross - First Ride,0.002879
David Darling - Lady Child's Dream,0.002791
Josh White - Trouble,0.002776
Neil Young - Cripple Creek Ferry,0.002754
Chuck Berry (Holiday) - Run Rudolph Run,0.002743
Mickey Hart & Zakir Hussain - Funky Zena,0.002718
Doc Watson - Little Sadie,0.002705
Liquid Mind - Thought Museum,0.002595
John Scofield - Rule Of Thumb,0.002539
Lorie Line - I Surrender All,0.002489
Uncle Earl - Booth Shot Lincoln,0.002489
Antonio Carlos Jobim - Por Toda Minha Vida,0.002385
Vince Gill - When I Call Your Name,0.00233
Steve Lacy - Alone Together,0.00233
Charles Wright & The Watts 103rd Street Rhythm Band - Express Yourself,0.002321
Todd Collins (Holiday) - Angels We Have Heard On High,0.002272
Teddy Wilson - I've Got A Crush On You,0.002264
Tommy Johnson - Maggie Campbell,0.002199
Leftover Salmon - Midnight Blues (feat. Del & Ronnie McCoury),0.002187
The Allman Brothers Band - Little Martha,0.002187
John Hammond - Little Rain Falling,0.002184
Teddy Wilson - Flyin' Home,0.002173
Keith Oxman - Serenity,0.002149
Lyle Lovett - Simple Song,0.002085
Kai Winding - Doodlin',0.002084
Andrae Crouch - Soon And Very Soon,0.002082
The Ray Conniff Singers (Holiday) - Santa Claus Is Coming To town,0.002072
Janet Beazley - White (Long Time Travelin'),0.002062
Moby Grape - Lazy Me,0.00202
Doc Watson - Eastbound Train (Live),0.001981
Dean Martin - Return To Me,0.001974
Alison Krauss - Don't Follow Me,0.001943
The Association - Never My Love,0.001919
Anita Ward - Ring My Bell,0.001863
Eric Harringer & John Paul Lacey - Ageless,0.001807
Doc Watson - Liitle Orphan Girl (Live),0.0018
Tommy Jarrell - The Drunken Hiccups,0.001788
Kenny G - G-Bop,0.00178
Ella Fitzgerald - A Fine Romance,0.001776
Don Ross - Give Me Seven Reasons,0.001769
Liquid Mind - Balance,0.001689
Cannonball Adderley - You' re A Weaver Of Dreams,0.001658
Dean Martin - Memories Are Made Of This,0.001645
Stevie Wonder - Overjoyed,0.001627
The Gene Harris Quartet - Sweet And Lovely,0.001615
The Beatles - Something,0.001607
Katalyst - Dangerous,0.001605
Scorpions - Still Loving You,0.001582
Ralph Stanley & The Clinch Mountain Boys - Stone Walls And Steel Bars,0.001546
Jackie Wilson - Lonely Teardrops,0.001518
Ella Fitzgerald - For You. For Me. For Evermore,0.001487
Will Bradley & His Orchestra - When You And I Were Young. Maggie,0.001476
Bob Baldwin - I Wanna Be Where You Are,0.00145
Leroy Carr - Sloppy Drunk Blues,0.001446
Tommy Emmanuel - Windy & Warm,0.001439
Angelo Debarre Et Ludovic Beier - Passion (En Duo),0.001438
James Cotton - Blues For Jacklyn,0.001369
Crosby. Stills. Nash & Young - Woodstock,0.001342
Bill Connors - It Be FM,0.001338
Cal Tjader - Stardust,0.001336
Kidz In The Hall - Don't Stop,0.001326
Earl Scruggs - Flint Hill Special,0.001303
Toots & The Maytals - Time Tough,0.0013
Nitty Gritty Dirt Band - Togary Mountain,0.001284
Georges Street - The Tartar Frigate,0.001252
Sonny Rollins - Pent Up House,0.001227
Tom Rush - Mole's Moan,0.001195
Diego El Cigala - Amar Y Vivir,0.001193
Sam Bush - Mr. Freddie,0.001192
Loudon Wainwright III - The Swimming Song,0.001178
Lester Young - Six Cats And A Prince (Master Take),0.001154
Mojo Nixon and the Toadliquors (Holiday) - Boogie Woogie Santa Claus,0.00115
Josh White - Uncle Sam Says,0.001143
Frank Sinatra & Bing Crosby (Holiday) - The Christmas Song ? White Christmas,0.00114
Prince - Controversy,0.00112
Tommy Emmanuel - One Mint Julep,0.00111
Bill Evans & Jim Hall - I Hear A Rhapsody,0.001096
Sonny Rollins - Paradox,0.001089
Dan Crary - Hot Pursuit,0.001069
Dean Martin - You're Nobody Till Somebody Loves You,0.001063
Don Ross - Berkley Springs,0.001048
Lee Morgan - Hocus Pocus,0.001032
Doc & Merle Watson - Gambler's Yodel,0.001
Skafish (Holiday) - O Come. O Come Emmanuel,0.000995
Chick Corea Elektric Band - Passage,0.000993
Doc Watson - Banks Of The Ohio (Live),0.000992
Botch - Liquored Up And Laid,0.000991
Eric Harringer & John Paul Lacey - Morning Dew,0.000966
Al Di Meola - Black Pearls,0.000958
Lowell Fulson - Western Union Blues,0.000956
Styx - Renegade,0.000953
Poppa Hop & His Orchestra (Holiday) - Merry Christmas Darling,0.000947
Willie Banks - God's Goodness,0.000939
Filter - Hey Man Nice Shot,0.000937
Cat Stevens - Don't Be Shy,0.000932
Indigo Girls - Blood And Fire,0.000931
Fosforito - Nunca Te He Mendtido (Bulerias De Cadiz),0.000924
Pete Fountain - High Society,0.000915
Kenny G - The Way You Look Tonight,0.000909
Sonny Rollins - On Green Dolphin Street,0.000907
Lucky Thompson - Jeep's Blues,0.000901
Bill Monroe - Molly & Tenbrooks,0.000881
George Michael - Faith,0.00088
Tommy Flanagan - Rough Ridin',0.000875
Ella Fitzgerald - Love Walked In,0.000872
