song,jazz
James P. Johnson - I've Got A Feeling I'm Falling,0.432199
Sonny Rollins - Like Someone In Love,0.431479
The Cotton Pickers - Hot Lips,0.427563
Covenant - Dead Stars (Version),0.425955
Cat Stevens - Moonshadow (Live),0.425718
The Gene Harris Quartet - Sweet And Lovely,0.425393
The Beatles - A Day In The Life (Love Version),0.425137
Mumbles - Prema's Dilema,0.418451
Stevie Wonder - I Wish (Live),0.41203
Anthony Wonsey Trio - Just You. Just Me,0.410429
Chopin. Fryderyk - Etudes (12) for piano. Op. 25. CT. 26-37,0.409751
Leftover Salmon - Bend In The River (Live),0.407067
Marcus Johnson - Just Doing What I Do,0.40174
Cal Tjader - Mambo In Miami,0.401731
The Brand New Heavies - BNH,0.40161
Sade - Paradise,0.399213
Tony Bennett - Steppin' Out With My Baby,0.398187
Lee Morgan - Sneaky Pete,0.397853
Filter - Hey Man Nice Shot,0.393055
John Scofield - Boozer,0.386168
The Pharcyde - Passing Me By,0.385654
Larry Carlton - Roll With It,0.380497
The Gene Harris Quartet - The Song Is Ended,0.377565
Peter White - What Does It Take To Win Your Love,0.374233
Teddy Wilson - Mean To Me,0.372578
Pete Robbins - Screwgun,0.372329
Cedar Walton Trio - I Mean You,0.369564
Chopin. Fryderyk - Impromptu for piano in G flat major. Op. 51. CT. 45,0.366072
Tommy Johnson - Big Fat Mama Blues,0.362088
Lee Ritenour & Larry Carlton - Crosstown Kids,0.351759
Scorpions - No One Like You,0.350993
Kai Winding - Doodlin',0.350822
Chopin. Fryderyk - Piano Sonata No. 3 in B minor. Op. 58. CT. 203,0.349593
Robert Johnson - I'm A Steady Rollin' Man,0.346959
Leftfield - Swords,0.346706
Dave Biller & Jeremy Wakefield - Martian Guts,0.343867
Eric Harringer & John Paul Lacey - Romance,0.343346
Jay Reatard - Turning Blue,0.342863
Josh White - New Milk Cow Blues,0.342128
Junior Brown - Broke Down South Of Dallas,0.340997
Eddie Boyd - Best I Could,0.339346
Marvin Sapp - Give Thanks,0.335881
Lester Young - Jump. Lester. Jump,0.334522
Jeff Lorber - Chopsticks,0.332116
Tex Beneke - I Know,0.328181
As One - Contours,0.327312
Cal Tjader - Sambo Do Suenho,0.326603
The David Grisman Quintet - Cedar Hill (live),0.326447
Rah - Wave,0.323173
Les Brown And His Band Of Renown - The Sweetheart Of Sigma Chi,0.322446
Schumann. Robert - Romances (3) for piano. Op. 28,0.319045
Justin Hinds & The Dominoes - Carry Go Bring Come (Rocksteady),0.315157
Milt Jackson - Little Girl Blue (Live),0.31349
Marvin Gaye - Got To Give It Up. Part 1 ( Live),0.312885
Sonorous - Pronotonic,0.31275
Otis Spann - Rock Me Mama,0.310619
Antonio Carlos Jobim - Children's Games,0.310157
Robert Johnson - I Believe I'll Dust My Broom,0.308672
Fiorillo. Federigo - Concerto For Violin & Orchestra No 1 In F,0.305098
Willie Banks - God's Goodness,0.302354
Mickey Hart & Zakir Hussain - Funky Zena,0.301168
Kenny Clarke's Sextet - Oblique,0.300037
Sonny Rollins - On A Slow Boat To China,0.299848
Van Morrison - Gloria (Performed By Them),0.296883
Orchestral Manoeuvres In The Dark - If You Leave,0.296825
James Brown - Super Bad. PTS.1&2,0.29294
Kit McClure Band - One O'clock Jump,0.291349
John Zorn - Zhakor,0.286266
Black Lips - Boone,0.285417
Tim O'Brien - Johnny Don't Get Drunk ? Rye Straw,0.284333
Rachmaninov. Sergey - Symphony No. 2 in E minor. Op. 27,0.28361
Gotan Project - Vuelvo Al Sur,0.278912
Marvin Gaye - Got To Give It Up,0.277583
Kidz In The Hall - The In Crowd,0.277265
Hugo Montenegro & His Orchestra - Theme From A Fistful Of Dollars,0.276805
Asleep At The Wheel - Stay All Night,0.275356
Ben Webster - Tenderly,0.274736
Jimmy Buffett - Come Monday,0.274431
Fastball - Morning Star,0.2733
Asleep At The Wheel - Cotton-Eyed Joe,0.27267
Rachmaninov. Sergey - Preludes (13) For Piano. Op. 32,0.272613
Doc Watson - Billy In The Low Ground (Live),0.271814
Rachmaninov. Sergey - Preludes (10) For Piano. Op. 23,0.271219
Brian Eno - Zawinul ? Lava,0.271038
Wes Montgomery - Watch What Happens,0.270768
Cherubini. Luigi - String Quartet No. 6 In A Minor,0.270447
Ella Fitzgerald - Guilty,0.270076
Gene Ammons - My Romance,0.269768
Wes Montgomery - Road Song,0.269554
Heritage Hall Jazz Band (Holiday) - Silver Bells,0.26878
Sam Bush - Big Mon,0.268585
Dean Martin - You're Nobody Till Somebody Loves You,0.267867
George Acosta - Precious,0.267823
Ruben Studdard - Goin' Up Yonder,0.265945
Leroy Carr - My Woman's Gone Wrong,0.265875
Traffic - Pearly Queen,0.265558
Sam Bush - Harbor Docks,0.263489
Cal Bennett - Whole Soul Stroll (Live),0.263318
HH - Planetary,0.263214
Alexander O'Neal (Holiday) - The Christmas Song (Chestnuts Roasting On An Open Fire),0.262999
George Acosta - Silence (DJ Tiesto's In Search Of Sunrise Remix),0.262887
Antonio Carlos Jobim - Amor Em Paz (Once I Loved),0.262084
Houston Person - Two Rb's,0.261641
Sam Bush - Same Ol' River (live),0.261553
Little Walter - Blue Baby Hard Times,0.260142
Benny Carter - Long Ago And Far Away,0.259747
