id,song,jazz
209,J-Dilla - Won't Do (Instrumental),0.461998
526,Jean-Luc Ponty - Still In Love,0.45019
672,Dave Holland - Blue,0.449074
936,Wes Montgomery - If I Should Lose You (Take 2-Alternate),0.448552
511,Sonny Rollins - 'Round Midnight,0.447023
1110,"Verdi, Giuseppe - La Traviata, Opera",0.446844
264,Antonio Carlos Jobim - O Grande Amor,0.444796
1503,Kai Winding - Trombone For Two,0.442682
136,Lester Young - Foggy Day (Live At Birdland),0.441439
414,Glen Brown - Wicked Tumbling Version,0.436574
700,Booker Ervin - Lynn's Tune,0.432726
1513,Furry Lewis - Mistreatin' Mama,0.432555
354,James P. Johnson - I've Got A Feeling I'm Falling,0.432199
514,Sonny Rollins - Like Someone In Love,0.431479
659,The Cotton Pickers - Hot Lips,0.427563
1189,Covenant - Dead Stars (Version),0.425955
950,Cat Stevens - Moonshadow (Live),0.425718
1299,The Gene Harris Quartet - Sweet And Lovely,0.425393
1326,The Beatles - A Day In The Life (Love Version),0.425137
1260,Mumbles - Prema's Dilema,0.418451
1475,Stevie Wonder - I Wish (Live),0.41203
769,"Anthony Wonsey Trio - Just You, Just Me",0.410429
607,"Chopin, Fryderyk - Etudes (12) for piano, Op. 25, CT. 26-37",0.409751
210,Leftover Salmon - Bend In The River (Live),0.407067
429,Marcus Johnson - Just Doing What I Do,0.40174
1170,Cal Tjader - Mambo In Miami,0.401731
313,The Brand New Heavies - BNH,0.40161
1384,Sade - Paradise,0.399213
1122,Tony Bennett - Steppin' Out With My Baby,0.398187
1315,Lee Morgan - Sneaky Pete,0.397853
1687,Filter - Hey Man Nice Shot,0.393055
325,John Scofield - Boozer,0.386168
844,The Pharcyde - Passing Me By,0.385654
489,Larry Carlton - Roll With It,0.380497
1298,The Gene Harris Quartet - The Song Is Ended,0.377565
348,Peter White - What Does It Take To Win Your Love,0.374233
840,Teddy Wilson - Mean To Me,0.372578
981,Pete Robbins - Screwgun,0.372329
1733,Cedar Walton Trio - I Mean You,0.369564
608,"Chopin, Fryderyk - Impromptu for piano in G flat major, Op. 51, CT. 45",0.366072
1197,Tommy Johnson - Big Fat Mama Blues,0.362088
